Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets

0410.21:47:48.150 0410.21:47:48.702 0     34.120.5.221    443   0     192.168.0.36    59426 6   3  8          3825      
0410.21:47:48.150 0410.21:47:48.702 0     192.168.0.36    59426 0     34.120.5.221    443   6   7  13         1495      
0410.21:47:50.761 0410.21:47:51.551 0     23.220.73.156   443   0     192.168.0.36    59772 6   3  16         6090      
0410.21:47:50.761 0410.21:47:51.551 0     192.168.0.36    59772 0     23.220.73.156   443   6   7  18         1843      
0410.21:47:50.869 0410.21:47:51.512 0     192.168.0.36    54656 0     199.232.154.133 443   6   7  10         1114      
0410.21:47:50.869 0410.21:47:51.512 0     199.232.154.133 443   0     192.168.0.36    54656 6   3  9          3660      
0410.21:47:50.870 0410.21:47:51.520 0     192.168.0.36    54658 0     199.232.154.133 443   6   7  15         1666      
0410.21:47:50.870 0410.21:47:51.520 0     199.232.154.133 443   0     192.168.0.36    54658 6   3  14         3986      
0410.21:47:50.870 0410.21:47:51.518 0     192.168.0.36    54660 0     199.232.154.133 443   6   7  10         1114      
0410.21:47:50.870 0410.21:47:51.518 0     199.232.154.133 443   0     192.168.0.36    54660 6   3  9          3660      
0410.21:47:51.202 0410.21:47:51.463 0     128.230.247.70  443   0     192.168.0.36    56214 6   2  5          2674      
0410.21:47:51.202 0410.21:47:51.463 0     192.168.0.36    56214 0     128.230.247.70  443   6   6  6          963       
0410.21:48:05.954 0410.21:48:06.213 0     34.120.237.76   443   0     192.168.0.36    49058 6   3  9          3882      
0410.21:48:05.954 0410.21:48:06.213 0     192.168.0.36    49058 0     34.120.237.76   443   6   7  13         1483      
0410.21:45:36.361 0410.21:45:36.377 0     192.168.0.1     53    0     192.168.0.36    3607  17  0  1          126       
0410.21:45:36.361 0410.21:45:36.377 0     192.168.0.36    3607  0     192.168.0.1     53    17  0  1          51        
0410.21:45:36.593 0410.21:45:36.593 0     192.168.0.36    39789 0     255.255.255.255 1124  17  0  1          65        
0410.21:45:37.254 0410.21:45:37.269 0     192.168.0.1     53    0     192.168.0.36    13236 17  0  1          126       
0410.21:45:37.254 0410.21:45:37.269 0     192.168.0.36    13236 0     192.168.0.1     53    17  0  1          51        
0410.21:48:57.835 0410.21:48:57.844 0     192.168.0.36    35282 0     192.168.0.142   80    6   2  1          60        
0410.21:48:57.835 0410.21:48:57.844 0     192.168.0.142   80    0     192.168.0.36    35282 6   4  1          46        
0410.21:48:57.835 0410.21:48:57.844 0     192.168.0.36    37256 0     192.168.0.142   95    6   2  1          60        
0410.21:48:57.835 0410.21:48:57.844 0     192.168.0.142   95    0     192.168.0.36    37256 6   4  1          46        
0410.21:48:57.835 0410.21:48:57.844 0     192.168.0.36    55688 0     192.168.0.142   84    6   2  1          60        
0410.21:48:57.835 0410.21:48:57.844 0     192.168.0.142   84    0     192.168.0.36    55688 6   4  1          46        
0410.21:48:57.835 0410.21:48:57.844 0     192.168.0.36    44122 0     192.168.0.142   98    6   2  1          60        
0410.21:48:57.835 0410.21:48:57.844 0     192.168.0.142   98    0     192.168.0.36    44122 6   4  1          46        
0410.21:48:57.836 0410.21:48:57.844 0     192.168.0.36    45408 0     192.168.0.142   87    6   2  1          60        
0410.21:48:57.836 0410.21:48:57.844 0     192.168.0.142   87    0     192.168.0.36    45408 6   4  1          46        
0410.21:48:57.836 0410.21:48:57.844 0     192.168.0.36    42524 0     192.168.0.142   85    6   2  1          60        
0410.21:48:57.836 0410.21:48:57.844 0     192.168.0.142   85    0     192.168.0.36    42524 6   4  1          46        
0410.21:48:57.836 0410.21:48:57.844 0     192.168.0.36    34284 0     192.168.0.142   88    6   2  1          60        
0410.21:48:57.836 0410.21:48:57.844 0     192.168.0.142   88    0     192.168.0.36    34284 6   4  1          46        
0410.21:48:57.836 0410.21:48:57.844 0     192.168.0.36    41992 0     192.168.0.142   81    6   2  1          60        
0410.21:48:57.836 0410.21:48:57.844 0     192.168.0.142   81    0     192.168.0.36    41992 6   4  1          46        
0410.21:48:57.836 0410.21:48:57.846 0     192.168.0.36    57218 0     192.168.0.142   91    6   2  1          60        
0410.21:48:57.836 0410.21:48:57.846 0     192.168.0.142   91    0     192.168.0.36    57218 6   4  1          46        
0410.21:48:57.836 0410.21:48:57.846 0     192.168.0.36    51050 0     192.168.0.142   96    6   2  1          60        
0410.21:48:57.836 0410.21:48:57.846 0     192.168.0.142   96    0     192.168.0.36    51050 6   4  1          46        
0410.21:48:57.844 0410.21:48:57.850 0     192.168.0.36    37972 0     192.168.0.142   94    6   2  1          60        
0410.21:48:57.844 0410.21:48:57.850 0     192.168.0.142   94    0     192.168.0.36    37972 6   4  1          46        
0410.21:48:57.845 0410.21:48:57.980 0     192.168.0.36    39994 0     192.168.0.142   97    6   2  1          60        
0410.21:48:57.845 0410.21:48:57.980 0     192.168.0.142   97    0     192.168.0.36    39994 6   4  1          46        
0410.21:48:57.846 0410.21:48:57.980 0     192.168.0.36    45702 0     192.168.0.142   99    6   2  1          60        
0410.21:48:57.846 0410.21:48:57.980 0     192.168.0.142   99    0     192.168.0.36    45702 6   4  1          46        
0410.21:48:57.847 0410.21:48:57.980 0     192.168.0.36    55058 0     192.168.0.142   83    6   2  1          60        
0410.21:48:57.847 0410.21:48:57.980 0     192.168.0.142   83    0     192.168.0.36    55058 6   4  1          46        
0410.21:48:57.847 0410.21:48:57.980 0     192.168.0.36    49722 0     192.168.0.142   82    6   2  1          60        
0410.21:48:57.847 0410.21:48:57.980 0     192.168.0.142   82    0     192.168.0.36    49722 6   4  1          46        
0410.21:48:57.847 0410.21:48:57.980 0     192.168.0.36    43116 0     192.168.0.142   90    6   2  1          60        
0410.21:48:57.847 0410.21:48:57.980 0     192.168.0.142   90    0     192.168.0.36    43116 6   4  1          46        
0410.21:48:57.848 0410.21:48:57.980 0     192.168.0.36    54852 0     192.168.0.142   92    6   2  1          60        
0410.21:48:57.848 0410.21:48:57.980 0     192.168.0.142   92    0     192.168.0.36    54852 6   4  1          46        
0410.21:48:57.848 0410.21:48:57.983 0     192.168.0.36    38052 0     192.168.0.142   100   6   2  1          60        
0410.21:48:57.848 0410.21:48:57.983 0     192.168.0.142   100   0     192.168.0.36    38052 6   4  1          46        
0410.21:48:57.849 0410.21:48:57.983 0     192.168.0.36    39346 0     192.168.0.142   89    6   2  1          60        
0410.21:48:57.849 0410.21:48:57.983 0     192.168.0.142   89    0     192.168.0.36    39346 6   4  1          46        
0410.21:48:57.849 0410.21:48:57.983 0     192.168.0.36    37434 0     192.168.0.142   86    6   2  1          60        
0410.21:48:57.849 0410.21:48:57.983 0     192.168.0.142   86    0     192.168.0.36    37434 6   4  1          46        
0410.21:48:57.850 0410.21:48:57.983 0     192.168.0.36    37494 0     192.168.0.142   93    6   2  1          60        
0410.21:48:57.850 0410.21:48:57.983 0     192.168.0.142   93    0     192.168.0.36    37494 6   4  1          46        
0410.21:45:55.982 0410.21:45:58.031 0     192.168.0.136   55797 0     239.255.255.250 1900  17  0  2          406       
0410.21:49:03.819 0410.21:49:04.287 0     34.120.5.221    443   0     192.168.0.36    59520 6   3  11         4050      
0410.21:49:03.819 0410.21:49:04.287 0     192.168.0.36    59520 0     34.120.5.221    443   6   7  14         1559      
0410.21:46:05.513 0410.21:46:05.513 0     192.168.0.136   138   0     192.168.0.255   138   17  0  1          229       
0410.21:49:06.929 0410.21:49:06.960 0     142.250.189.4   443   0     192.168.0.36    60100 6   2  1          60        
0410.21:49:06.929 0410.21:49:06.960 0     192.168.0.36    60100 0     142.250.189.4   443   6   6  2          100       
0410.21:49:09.070 0410.21:49:09.778 0     142.250.72.136  443   0     192.168.0.36    56618 6   3  10         5764      
0410.21:49:09.070 0410.21:49:09.778 0     192.168.0.36    56618 0     142.250.72.136  443   6   7  13         1495      
0410.21:49:10.541 0410.21:49:10.773 0     34.107.203.234  443   0     192.168.0.36    42970 6   3  11         4047      
0410.21:49:10.541 0410.21:49:10.773 0     192.168.0.36    42970 0     34.107.203.234  443   6   7  14         1547      
0410.21:49:13.316 0410.21:49:13.864 0     35.201.124.9    443   0     192.168.0.36    32778 6   7  12         4374      
0410.21:49:13.316 0410.21:49:13.864 0     192.168.0.36    32778 0     35.201.124.9    443   6   3  12         1890      
0410.21:49:13.947 0410.21:49:14.126 0     35.244.167.102  443   0     192.168.0.36    33456 6   7  8          796       
0410.21:49:13.947 0410.21:49:14.126 0     192.168.0.36    33456 0     35.244.167.102  443   6   3  8          1687      
0410.21:49:14.955 0410.21:49:15.678 0     23.220.73.141   443   0     192.168.0.36    34146 6   3  13         5934      
0410.21:49:14.955 0410.21:49:15.678 0     192.168.0.36    34146 0     23.220.73.141   443   6   6  14         1604      
0410.21:49:16.544 0410.21:49:16.782 0     23.220.73.148   443   0     192.168.0.36    51758 6   3  13         5934      
0410.21:49:16.544 0410.21:49:16.782 0     192.168.0.36    51758 0     23.220.73.148   443   6   7  15         1632      
0410.21:46:02.046 0410.21:46:17.068 0     192.168.0.34    5353  0     224.0.0.251     5353  17  0  5          325       
0410.21:46:15.765 0410.21:46:18.830 0     192.168.0.199   60440 0     239.255.255.250 1900  17  0  3          609       
0410.21:49:21.359 0410.21:49:21.541 0     142.250.188.227 443   0     192.168.0.36    46306 6   3  8          5066      
0410.21:49:21.359 0410.21:49:21.541 0     192.168.0.36    46306 0     142.250.188.227 443   6   7  13         1495      
0410.21:49:34.765 0410.21:49:35.453 0     192.168.0.36    54692 0     199.232.153.164 443   6   7  14         1547      
0410.21:49:34.765 0410.21:49:35.453 0     199.232.153.164 443   0     192.168.0.36    54692 6   3  13         5184      
0410.21:49:34.774 0410.21:49:35.517 0     192.168.0.36    54694 0     199.232.153.164 443   6   7  13         1495      
0410.21:49:34.774 0410.21:49:35.517 0     199.232.153.164 443   0     192.168.0.36    54694 6   3  12         5132      
0410.21:49:34.781 0410.21:49:35.453 0     192.168.0.36    54696 0     199.232.153.164 443   6   7  13         1495      
0410.21:49:34.781 0410.21:49:35.453 0     199.232.153.164 443   0     192.168.0.36    54696 6   3  12         5132      
0410.21:49:36.522 0410.21:49:36.918 0     192.168.0.36    54702 0     199.232.153.164 443   6   7  13         1495      
0410.21:49:36.522 0410.21:49:36.918 0     199.232.153.164 443   0     192.168.0.36    54702 6   3  12         5132      
0410.21:49:08.506 0410.21:49:46.250 0     151.101.130.133 443   0     192.168.0.36    40480 6   3  17         6336      
0410.21:49:08.506 0410.21:49:46.250 0     192.168.0.36    40480 0     151.101.130.133 443   6   7  14         1840      
0410.21:49:08.602 0410.21:49:46.250 0     192.168.0.36    54756 0     199.232.154.133 443   6   7  152        13349     
0410.21:49:08.602 0410.21:49:46.250 0     199.232.154.133 443   0     192.168.0.36    54756 6   3  303        4394669   
0410.21:49:09.138 0410.21:49:46.285 0     184.28.252.219  443   0     192.168.0.36    34188 6   3  52         92112     
