Start,End,Sif,SrcIPaddress,SrcP,Dif,DstIPaddress,DstP,P,Fl,Pkts,Octets
13.21:49:09,13.21:49:46,0,192.168.0.36,54756,0,199.232.154.133,443,6,7,152,13349
13.21:48:06,13.21:48:06,0,192.168.0.36,13725,0,192.168.0.1,53,17,0,1,72
13.21:48:58,13.21:48:58,0,192.168.0.36,51050,0,192.168.0.142,96,6,2,1,60
13.21:49:12,13.21:49:46,0,192.168.0.36,36604,0,199.232.152.157,443,6,7,19,2065
13.21:47:52,13.21:47:52,0,192.168.0.36,14395,0,192.168.0.1,53,17,0,1,64
13.21:48:58,13.21:48:58,0,192.168.0.36,37972,0,192.168.0.142,94,6,2,1,60
13.21:49:37,13.21:49:37,0,192.168.0.36,54702,0,199.232.153.164,443,6,7,13,1495
13.21:49:04,13.21:49:04,0,192.168.0.36,59520,0,34.120.5.221,443,6,7,14,1559
13.21:49:33,13.21:49:46,0,192.168.0.36,49796,0,86.109.7.56,443,6,6,15,2032
13.21:48:07,13.21:48:07,0,192.168.0.36,28664,0,192.168.0.1,53,17,0,1,62
13.21:48:58,13.21:48:58,0,192.168.0.36,35282,0,192.168.0.142,80,6,2,1,60
13.21:47:51,13.21:47:51,0,192.168.0.36,11156,0,192.168.0.1,53,17,0,1,61
13.21:48:07,13.21:48:07,0,192.168.0.36,57186,0,192.168.0.1,53,17,0,1,59
13.21:48:58,13.21:48:58,0,192.168.0.36,41992,0,192.168.0.142,81,6,2,1,60
13.21:48:58,13.21:48:58,0,192.168.0.36,37256,0,192.168.0.142,95,6,2,1,60
13.21:48:06,13.21:48:07,0,192.168.0.36,49056,0,34.120.237.76,443,6,3,42,3736
13.21:48:07,13.21:48:07,0,192.168.0.36,39002,0,192.168.0.1,53,17,0,1,59
13.21:47:49,13.21:47:49,0,192.168.0.36,19825,0,192.168.0.1,53,17,0,1,70
13.21:47:48,13.21:47:49,0,192.168.0.36,59426,0,34.120.5.221,443,6,7,13,1495
13.21:49:11,13.21:49:46,0,192.168.0.36,33122,0,23.205.193.17,443,6,7,16,2021
13.21:47:50,13.21:47:50,0,192.168.0.36,33010,0,192.168.0.1,53,17,0,1,88
13.21:48:58,13.21:48:58,0,192.168.0.36,39994,0,192.168.0.142,97,6,2,1,60
13.21:47:51,13.21:47:51,0,192.168.0.36,39504,0,199.232.155.3,80,6,3,6,767
13.21:48:58,13.21:48:58,0,192.168.0.36,39346,0,192.168.0.142,89,6,2,1,60
13.21:48:58,13.21:48:58,0,192.168.0.36,49722,0,192.168.0.142,82,6,2,1,60
13.21:48:06,13.21:48:06,0,192.168.0.36,49054,0,34.120.237.76,443,6,3,13,1519
13.21:47:51,13.21:47:52,0,192.168.0.36,54656,0,199.232.154.133,443,6,7,10,1114
13.21:48:58,13.21:48:58,0,192.168.0.36,57218,0,192.168.0.142,91,6,2,1,60
13.21:48:06,13.21:48:06,0,192.168.0.36,17762,0,192.168.0.1,53,17,0,1,72
13.21:48:07,13.21:48:07,0,192.168.0.36,10029,0,192.168.0.1,53,17,0,1,57
13.21:47:50,13.21:47:50,0,192.168.0.36,3714,0,192.168.0.1,53,17,0,1,88
